															
		LPRS1_MAX1000_Shield_Test		LPRS1_and_LPRS2_MAX1000_Shield_UART_Test 		LPRS1_MAX1000_Shield_ADC_Test		LPRS2_MAX1000_Shield_ADC_Test		LPRS2_MAX1000_Shield_HDMI_and_Camera_Test		LPRS2_MAX1000_Shield_Automotive_Test		LPRS2_MAX1000_Shield_Automotive_Guardian_with_Remote	
MAX1000 name	FPGA Location	Net name	I/O Standard	Net name	I/O Standard	Net name	I/O Standard	Net name	I/O Standard	Net name	I/O Standard	Net name	I/O Standard	Net name	I/O Standard
CLK12M	PIN_H6	i_clk	3.3-V LVTTL	i_clk	3.3-V LVTTL	i_clk	3.3-V LVTTL	i_clk	3.3-V LVTTL						
USER_BTN	PIN_E6	in_rst	3.3 V Schmitt Trigger	in_rst	3.3 V Schmitt Trigger	in_rst	3.3 V Schmitt Trigger	in_rst	3.3 V Schmitt Trigger						
LED1	PIN_A8	o_led[0]	3.3-V LVTTL												
LED2	PIN_A9	o_led[1]	3.3-V LVTTL												
LED3	PIN_A11	o_led[2]	3.3-V LVTTL												
LED4	PIN_A10	o_led[3]	3.3-V LVTTL												
LED5	PIN_B10	o_led[4]	3.3-V LVTTL												
LED6	PIN_C9	o_led[5]	3.3-V LVTTL												
LED7	PIN_C10	o_led[6]	3.3-V LVTTL												
LED8	PIN_D8	o_led[7]	3.3-V LVTTL												
D13	PIN_H13	o_sem_r	3.3-V LVTTL	o_uart_rx	3.3-V LVTTL										
D14	PIN_G12			o_uart_tx	3.3-V LVTTL	o_pwm_dac	3.3-V LVCMOS								
